method,alpha,seed,round,actual_malicious_client,detected_anomalous_clients,TP,FP,TN,FN,precision,recall,F1
Agent,0.3,1,1,[2],"[0, 2]",1,1,3,0,0.50,1.00,0.67
Agent,0.3,1,2,[2],"[0, 2]",1,1,3,0,0.50,1.00,0.67
Agent,0.3,1,3,[2],"[0, 2]",1,1,3,0,0.50,1.00,0.67
Agent,0.3,1,4,[2],"[0, 2]",1,1,3,0,0.50,1.00,0.67
Agent,0.3,1,5,[2],"[0, 1, 2]",1,2,2,0,0.33,1.00,0.50
Agent,0.3,1,6,[2],"[0, 2]",1,1,3,0,0.50,1.00,0.67
Agent,0.3,1,7,[2],"[0, 1, 2]",1,2,2,0,0.33,1.00,0.50
Agent,0.3,1,8,[2],"[0, 2]",1,1,3,0,0.50,1.00,0.67
Agent,0.3,2,1,[0],[3],0,1,3,1,0.00,0.00,0.00
Agent,0.3,2,2,[0],[3],0,1,3,1,0.00,0.00,0.00
Agent,0.3,2,3,[0],[3],0,1,3,1,0.00,0.00,0.00
Agent,0.3,2,4,[0],[3],0,1,3,1,0.00,0.00,0.00
Agent,0.3,2,5,[0],[3],0,1,3,1,0.00,0.00,0.00
Agent,0.3,2,6,[0],"[1, 3]",0,2,2,1,0.00,0.00,0.00
Agent,0.3,2,7,[0],[3],0,1,3,1,0.00,0.00,0.00
Agent,0.3,2,8,[0],[3],0,1,3,1,0.00,0.00,0.00
Agent,0.3,3,1,[2],"[2, 3]",1,1,3,0,0.50,1.00,0.67
Agent,0.3,3,2,[2],[3],0,1,3,1,0.00,0.00,0.00
Agent,0.3,3,3,[2],"[2, 3]",1,1,3,0,0.50,1.00,0.67
Agent,0.3,3,4,[2],"[2, 3]",1,1,3,0,0.50,1.00,0.67
Agent,0.3,3,5,[2],"[2, 3]",1,1,3,0,0.50,1.00,0.67
Agent,0.3,3,6,[2],[3],0,1,3,1,0.00,0.00,0.00
Agent,0.3,3,7,[2],"[2, 3]",1,1,3,0,0.50,1.00,0.67
Agent,0.3,3,8,[2],[3],0,1,3,1,0.00,0.00,0.00
Agent,0.3,4,1,[1],[],0,0,4,1,0.00,0.00,0.00
Agent,0.3,4,2,[1],[],0,0,4,1,0.00,0.00,0.00
Agent,0.3,4,3,[1],[],0,0,4,1,0.00,0.00,0.00
Agent,0.3,4,4,[1],[],0,0,4,1,0.00,0.00,0.00
Agent,0.3,4,5,[1],[],0,0,4,1,0.00,0.00,0.00
Agent,0.3,4,6,[1],[],0,0,4,1,0.00,0.00,0.00
Agent,0.3,4,7,[1],[],0,0,4,1,0.00,0.00,0.00
Agent,0.3,4,8,[1],[],0,0,4,1,0.00,0.00,0.00
Agent,0.3,5,1,[1],[4],0,1,3,1,0.00,0.00,0.00
Agent,0.3,5,2,[1],"[3, 4]",0,2,2,1,0.00,0.00,0.00
Agent,0.3,5,3,[1],"[3, 4]",0,2,2,1,0.00,0.00,0.00
Agent,0.3,5,4,[1],[4],0,1,3,1,0.00,0.00,0.00
Agent,0.3,5,5,[1],[4],0,1,3,1,0.00,0.00,0.00
Agent,0.3,5,6,[1],"[3, 4]",0,2,2,1,0.00,0.00,0.00
Agent,0.3,5,7,[1],"[3, 4]",0,2,2,1,0.00,0.00,0.00
Agent,0.3,5,8,[1],[4],0,1,3,1,0.00,0.00,0.00
Agent,1.0,1,1,[2],"[2, 3]",1,1,3,0,0.50,1.00,0.67
Agent,1.0,1,2,[2],"[2, 3]",1,1,3,0,0.50,1.00,0.67
Agent,1.0,1,3,[2],[3],0,1,3,1,0.00,0.00,0.00
Agent,1.0,1,4,[2],[3],0,1,3,1,0.00,0.00,0.00
Agent,1.0,1,5,[2],[3],0,1,3,1,0.00,0.00,0.00
Agent,1.0,1,6,[2],"[2, 3]",1,1,3,0,0.50,1.00,0.67
Agent,1.0,1,7,[2],[3],0,1,3,1,0.00,0.00,0.00
Agent,1.0,1,8,[2],"[2, 3]",1,1,3,0,0.50,1.00,0.67
Agent,1.0,2,1,[0],[0],1,0,4,0,1.00,1.00,1.00
Agent,1.0,2,2,[0],[],0,0,4,1,0.00,0.00,0.00
Agent,1.0,2,3,[0],[3],0,1,3,1,0.00,0.00,0.00
Agent,1.0,2,4,[0],[3],0,1,3,1,0.00,0.00,0.00
Agent,1.0,2,5,[0],"[0, 3]",1,1,3,0,0.50,1.00,0.67
Agent,1.0,2,6,[0],[3],0,1,3,1,0.00,0.00,0.00
Agent,1.0,2,7,[0],[3],0,1,3,1,0.00,0.00,0.00
Agent,1.0,2,8,[0],[3],0,1,3,1,0.00,0.00,0.00
Agent,1.0,3,1,[2],[3],0,1,3,1,0.00,0.00,0.00
Agent,1.0,3,2,[2],[3],0,1,3,1,0.00,0.00,0.00
Agent,1.0,3,3,[2],[3],0,1,3,1,0.00,0.00,0.00
Agent,1.0,3,4,[2],[3],0,1,3,1,0.00,0.00,0.00
Agent,1.0,3,5,[2],[3],0,1,3,1,0.00,0.00,0.00
Agent,1.0,3,6,[2],[3],0,1,3,1,0.00,0.00,0.00
Agent,1.0,3,7,[2],[3],0,1,3,1,0.00,0.00,0.00
Agent,1.0,3,8,[2],[3],0,1,3,1,0.00,0.00,0.00
Agent,1.0,4,1,[1],[3],0,1,3,1,0.00,0.00,0.00
Agent,1.0,4,2,[1],[3],0,1,3,1,0.00,0.00,0.00
Agent,1.0,4,3,[1],[3],0,1,3,1,0.00,0.00,0.00
Agent,1.0,4,4,[1],[3],0,1,3,1,0.00,0.00,0.00
Agent,1.0,4,5,[1],[3],0,1,3,1,0.00,0.00,0.00
Agent,1.0,4,6,[1],[3],0,1,3,1,0.00,0.00,0.00
Agent,1.0,4,7,[1],[3],0,1,3,1,0.00,0.00,0.00
Agent,1.0,4,8,[1],[3],0,1,3,1,0.00,0.00,0.00
Agent,1.0,5,1,[1],[2],0,1,3,1,0.00,0.00,0.00
Agent,1.0,5,2,[1],[2],0,1,3,1,0.00,0.00,0.00
Agent,1.0,5,3,[1],[2],0,1,3,1,0.00,0.00,0.00
Agent,1.0,5,4,[1],[2],0,1,3,1,0.00,0.00,0.00
Agent,1.0,5,5,[1],[2],0,1,3,1,0.00,0.00,0.00
Agent,1.0,5,6,[1],[2],0,1,3,1,0.00,0.00,0.00
Agent,1.0,5,7,[1],[2],0,1,3,1,0.00,0.00,0.00
Agent,1.0,5,8,[1],[2],0,1,3,1,0.00,0.00,0.00
FedAvg,0.3,1,1,[2],"[0, 2]",1,1,3,0,0.50,1.00,0.67
FedAvg,0.3,1,2,[2],"[0, 1, 2]",1,2,2,0,0.33,1.00,0.50
FedAvg,0.3,1,3,[2],"[0, 2]",1,1,3,0,0.50,1.00,0.67
FedAvg,0.3,1,4,[2],"[0, 1, 2]",1,2,2,0,0.33,1.00,0.50
FedAvg,0.3,1,5,[2],"[0, 2]",1,1,3,0,0.50,1.00,0.67
FedAvg,0.3,1,6,[2],"[0, 1, 2]",1,2,2,0,0.33,1.00,0.50
FedAvg,0.3,1,7,[2],"[0, 2]",1,1,3,0,0.50,1.00,0.67
FedAvg,0.3,1,8,[2],"[0, 1, 2]",1,2,2,0,0.33,1.00,0.50
FedAvg,0.3,2,1,[0],[3],0,1,3,1,0.00,0.00,0.00
FedAvg,0.3,2,2,[0],[3],0,1,3,1,0.00,0.00,0.00
FedAvg,0.3,2,3,[0],[3],0,1,3,1,0.00,0.00,0.00
FedAvg,0.3,2,4,[0],[3],0,1,3,1,0.00,0.00,0.00
