method,alpha,seed,run_id,final_accuracy,final_f1,final_auc,average_llm_latency,total_llm_calls,fallback_count
Agent,0.3,1,exp2_mAgent_a0.3_s1,90.00,0.9474,0.6973,8.31,8,0
Agent,0.3,2,exp2_mAgent_a0.3_s2,88.65,0.9359,0.8762,8.01,8,0
Agent,0.3,3,exp2_mAgent_a0.3_s3,82.84,0.8963,0.9195,7.96,8,0
Agent,0.3,4,exp2_mAgent_a0.3_s4,29.75,0.3607,0.8609,8.49,8,0
Agent,0.3,5,exp2_mAgent_a0.3_s5,88.18,0.9320,0.9057,7.39,8,0
Agent,1.0,1,exp2_mAgent_a1.0_s1,90.35,0.9443,0.9467,7.05,8,0
Agent,1.0,2,exp2_mAgent_a1.0_s2,85.40,0.9128,0.9436,8.27,8,0
Agent,1.0,3,exp2_mAgent_a1.0_s3,39.99,0.5065,0.7482,6.74,8,0
Agent,1.0,4,exp2_mAgent_a1.0_s4,89.80,0.9413,0.9257,7.13,8,0
Agent,1.0,5,exp2_mAgent_a1.0_s5,57.44,0.6933,0.8529,7.57,8,0
FedAvg,0.3,1,exp2_mFedAvg_a0.3_s1,85.21,0.9125,0.9109,0.00,0,0
FedAvg,0.3,2,exp2_mFedAvg_a0.3_s2,91.76,0.9537,0.9275,0.00,0,0
FedAvg,0.3,4,exp2_mFedAvg_a0.3_s4,83.09,0.8974,0.9420,0.00,0,0
FedAvg,0.3,5,exp2_mFedAvg_a0.3_s5,88.41,0.9337,0.8890,0.00,0,0
FedAvg,1.0,2,exp2_mFedAvg_a1.0_s2,82.18,0.8919,0.9197,0.00,0,0
FedAvg,1.0,3,exp2_mFedAvg_a1.0_s3,83.26,0.9000,0.9048,0.00,0,0
FedAvg,1.0,4,exp2_mFedAvg_a1.0_s4,90.83,0.9478,0.9305,0.00,0,0
FedAvg,1.0,5,exp2_mFedAvg_a1.0_s5,83.36,0.8995,0.9307,0.00,0,0
Krum,0.3,1,exp2_mKrum_a0.3_s1,90.00,0.9474,0.5003,0.00,0,0
Krum,0.3,2,exp2_mKrum_a0.3_s2,8.95,0.1261,0.0779,0.00,0,0
Krum,0.3,4,exp2_mKrum_a0.3_s4,43.69,0.5472,0.8443,0.00,0,0
Krum,0.3,5,exp2_mKrum_a0.3_s5,89.51,0.9401,0.9138,0.00,0,0
Krum,1.0,2,exp2_mKrum_a1.0_s2,10.78,0.1619,0.0691,0.00,0,0
Krum,1.0,3,exp2_mKrum_a1.0_s3,83.81,0.9024,0.9358,0.00,0,0
Krum,1.0,4,exp2_mKrum_a1.0_s4,90.48,0.9457,0.9244,0.00,0,0
Krum,1.0,5,exp2_mKrum_a1.0_s5,91.22,0.9499,0.9387,0.00,0,0
Median,0.3,1,exp2_mMedian_a0.3_s1,91.90,0.9563,0.8898,0.00,0,0
Median,0.3,2,exp2_mMedian_a0.3_s2,92.22,0.9579,0.8926,0.00,0,0
Median,0.3,3,exp2_mMedian_a0.3_s3,80.54,0.8814,0.8918,0.00,0,0
Median,0.3,4,exp2_mMedian_a0.3_s4,88.42,0.9327,0.9311,0.00,0,0
Median,0.3,5,exp2_mMedian_a0.3_s5,90.09,0.9463,0.8784,0.00,0,0
Median,1.0,2,exp2_mMedian_a1.0_s2,91.94,0.9569,0.8983,0.00,0,0
Median,1.0,3,exp2_mMedian_a1.0_s3,55.50,0.6727,0.9236,0.00,0,0
Median,1.0,4,exp2_mMedian_a1.0_s4,92.55,0.9588,0.9150,0.00,0,0
Median,1.0,5,exp2_mMedian_a1.0_s5,92.29,0.9580,0.9067,0.00,0,0
RuleBased,0.3,1,exp2_mRuleBased_a0.3_s1,90.00,0.9474,0.5003,0.00,8,0
RuleBased,0.3,2,exp2_mRuleBased_a0.3_s2,11.17,0.1717,0.0758,0.00,8,0
RuleBased,0.3,3,exp2_mRuleBased_a0.3_s3,15.67,0.1195,0.8054,0.00,8,0
RuleBased,0.3,4,exp2_mRuleBased_a0.3_s4,91.29,0.9502,0.9454,0.00,8,0
RuleBased,0.3,5,exp2_mRuleBased_a0.3_s5,86.38,0.9198,0.9258,0.00,8,0
RuleBased,1.0,2,exp2_mRuleBased_a1.0_s2,8.64,0.1154,0.0718,0.00,8,0
RuleBased,1.0,3,exp2_mRuleBased_a1.0_s3,83.04,0.8974,0.9315,0.00,8,0
