id,run_id,round,alpha,attack_active,attacker_ids,selected_clients,aggregation_method,train_loss,val_accuracy,val_loss,val_f1,val_auc,test_accuracy,test_loss,test_f1,test_auc,oracle_accuracy,oracle_candidate_id,regret,cumulative_regret,round_time_s
3,exp3_FixedFedAvg_s1,1,100.0,0,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",FedAvg,,,,,,85.5,,0.9152,,88.52,C0,3.54,3.54,49.28
4,exp3_FixedFedAvg_s1,2,100.0,0,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",FedAvg,,,,,,84.6,,0.9084,,90.14,C0,6.08,9.62,49.66
5,exp3_FixedFedAvg_s1,3,100.0,0,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",FedAvg,,,,,,85.6,,0.9146,,90.66,C0,4.9,14.52,48.53
6,exp3_FixedFedAvg_s1,4,100.0,0,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",FedAvg,,,,,,87.41,,0.926,,92.14,C0,4.96,19.48,45.92
7,exp3_FixedFedAvg_s1,5,100.0,0,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",FedAvg,,,,,,87.93,,0.9293,,92.66,C0,4.9,24.38,49.91
8,exp3_FixedFedAvg_s1,6,1.0,0,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",FedAvg,,,,,,90.04,,0.943,,93.18,C0,3.38,27.76,45.92
9,exp3_FixedFedAvg_s1,7,1.0,0,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",FedAvg,,,,,,90.15,,0.9434,,93.42,C0,3.24,31.0,46.9
10,exp3_FixedFedAvg_s1,8,1.0,0,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",FedAvg,,,,,,92.01,,0.9547,,93.92,C0,2.28,33.28,46.62
11,exp3_FixedFedAvg_s1,9,1.0,0,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",FedAvg,,,,,,91.53,,0.9518,,93.94,C0,2.38,35.66,46.22
12,exp3_FixedFedAvg_s1,10,1.0,0,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",FedAvg,,,,,,90.87,,0.9477,,93.92,C0,3.46,39.12,46.06
13,exp3_FixedFedAvg_s1,11,0.2,0,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",FedAvg,,,,,,94.12,,0.9677,,94.44,C0,0.0,39.12,49.4
14,exp3_FixedFedAvg_s1,12,0.2,0,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",FedAvg,,,,,,93.95,,0.9667,,94.2,C0,0.0,39.12,48.92
15,exp3_FixedFedAvg_s1,13,0.2,0,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",FedAvg,,,,,,94.0,,0.9668,,94.34,C0,0.0,39.12,49.66
16,exp3_FixedFedAvg_s1,14,0.2,0,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",FedAvg,,,,,,94.01,,0.967,,94.34,C0,0.0,39.12,49.65
17,exp3_FixedFedAvg_s1,15,0.2,0,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",FedAvg,,,,,,94.12,,0.9674,,94.22,C0,0.0,39.12,49.27
