run_id,method,seed,model,provider,config_json,created_at
exp3_FixedFedAvg_s1,FixedFedAvg,1,openai/gpt-oss-120b,groq,{},1789409089.554218
exp3_FixedFedAvg_s2,FixedFedAvg,2,openai/gpt-oss-120b,groq,{},1789409089.5557292
exp3_FixedKrum_s1,FixedKrum,1,openai/gpt-oss-120b,groq,{},1789409089.5560718
exp3_FixedMedian_s1,FixedMedian,1,openai/gpt-oss-120b,groq,{},1789409089.5563166
exp3_FixedTrimmedMean_s1,FixedTrimmedMean,1,openai/gpt-oss-120b,groq,{},1789409089.5568562
exp3_RuleBased_s1,RuleBased,1,openai/gpt-oss-120b,groq,{},1789409089.557133
exp3_SingleShotLLM_s1,SingleShotLLM,1,openai/gpt-oss-120b,groq,{},1789409089.5573719
exp3_FixedMedian_s2,FixedMedian,2,openai/gpt-oss-120b,groq,{},1789479135.477004
exp3_ReflectiveAgent_s1,ReflectiveAgent,1,openai/gpt-oss-120b,groq,{},1789479135.477331
exp3_AgenticAI_s1,AgenticAI,1,openai/gpt-oss-120b,groq,{},1789488673.886467
exp3_FixedFedAvg_s3,FixedFedAvg,3,openai/gpt-oss-120b,groq,{},1789488673.8910804
exp3_FixedKrum_s2,FixedKrum,2,openai/gpt-oss-120b,groq,{},1789488673.891364
exp3_FixedMedian_s3,FixedMedian,3,openai/gpt-oss-120b,groq,{},1789488673.8916428
exp3_FixedTrimmedMean_s2,FixedTrimmedMean,2,openai/gpt-oss-120b,groq,{},1789488673.891988
exp3_RuleBased_s2,RuleBased,2,openai/gpt-oss-120b,groq,{},1789488673.8925269
